Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Allegory Capital,https://www.allegory.capital/,Grand rue 29 1110 morges CH-Vaud,"Switzerland,USA,France,Germany,Algeria,Ukraine,Netherlands,Belgium,Denmark","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling",We invest in startups within regulated industries with a strong commercial acumen,VC,"$100,000","$800,000"
Allen Lee,,New York,"Canada,USA,Hong Kong,Indonesia,Japan,Malaysia,Philippines,Singapore,South Korea,Taiwan,Thailand,Vietnam,France,Germany,Netherlands,Spain,UK","2. Prototype,3. Early Revenue,4. Scaling,5. Growth","I invest in software (SaaS), deeptech (AI), fintech, edtech, healthtech, proptech, consumer. ",Solo angel,"$10,000","$100,000"
Alliance For Impact (AFI),https://allianceforimpact.com/fr/,"47, Avenue de l'Opéra, 75002 PARIS","France,Germany,UK,Netherlands,Belgium,Sweden,Finland,Denmark,Norway,Poland,Spain,Italy,Portugal,Ireland,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in impact-driven startups reimagining every sector of the global economy in a fairer and more sustainable way.

We are on a mission to finance up to 2 companies per month with 100K-500K€ pre-seed/seed tickets.",VC,"$150,000","$500,000"
Allianz Life Ventures,https://www.allianzlife.com/about/ventures,"5701 Golden Hills Drive, Minneapolis, MN 55416, United States",USA,"3. Early Revenue,4. Scaling,2. Prototype","We invest in insurtech, fintech, wealthtech, capital markets tech, enterprise saas, and digital health startups near $1M+ ARR.",Corporate VC,"$500,000","$3,000,000"
Allied Venture Partners,https://www.allied.vc,"315 3rd Street SE, Calgary, AB Canada","Canada,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in post-product/revenue, Seed and Series A software and technology companies across Canada and the USA. We are industry agnostic, however, do not invest in Medtech, Biotech, Healthcare or Cannabis. 

For our complete investment thesis, please visit www.allied.vc/thesis",Angel network,"$100,000","$300,000"
Almabruur Investment,https://almabruur.com,"7 Bell Yard, London WC2A 2JR, UK","Nigeria,UK,Saudi Arabia,USA,Egypt","2. Prototype,3. Early Revenue,1. Idea or Patent",We accelerate early-revenue and post-revenue Africa-focused impact startups.,"Incubator, Accelerator","$1,000","$1,000,000"
Aloniq,https://www.aloniq.com/,"Tel Aviv, Israel","USA,Singapore,UK,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in early-stage startups (from pre-seed to Series A) in deep tech and software domains.,Other,"$100,000","$500,000"
Alpaca VC,https://alpaca.vc/,"505 5th Ave, 22nd Floor, New York, NY, 10017","USA,Canada","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling","We invest in Seed rounds in companies reshaping the real world. We prefer to lead. 

We believe that layering technology over daily life transforms how the real world works. So we invest in the people, products and processes that power commerce in the physical world. Together with founders, we kickstart real change with outsized impact. ",VC,"$500,000","$1,300,000"
Alpha Future Funds,https://alphafuturefunds.com/," c/o Dissmann/Orth, Kardinal-Faulhaber-Straße 14a, 80333 München, Germany","Argentina,Austria,Belgium,Canada,Chile,Colombia,Cyprus,Czech Republic,Denmark,Finland,France,Germany,Ireland,Italy,Liechtenstein,Luxembourg,Mexico,Norway,Netherlands,Slovenia,USA,Singapore,UK,Switzerland,Sweden","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We Invest in a Sustainable Future from Resource tech to CleanTech,VC,"$250,000","$1,000,000"
Alpha Intelligence Capital,https://aicapital.ai/,"2, rue d’Alsace, L-1122 Luxembourg, Luxembourg","Canada,USA,France,Germany,Ireland,Luxembourg,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,UK,Israel","3. Early Revenue,4. Scaling,5. Growth",We invest in companies with deep expertise in the algorithmic sciences - Artiﬁcial Intelligence/Machine Learning (AI/ML) from Seed to Series B.,VC,"$1,000,000","$10,000,000"
Alpha Partners,https://alphapartners.com/,"Empire State Building, New York, NY","USA,Canada,UK,Mexico,Brazil","4. Scaling,5. Growth,6. Pre-IPO","We invest in early-stage tech companies, preferably with over $5 million in annual revenue.

Alpha Partners is a next-generation growth equity firm that focuses on accelerating private technology companies. To these companies and their investors, we offer an option to quickly fill out a growth or expansion stage financing round in a friendly and rational manner.

Our mission: to serve our seed and early-stage investor partners and the heroic teams they back.

>Rational and Agile Capital
As experienced entrepreneurs and early-stage venture capital investors, we founded Alpha Partners to be an agile co-investor.  We make rapid investment decisions. We’re flexible on investment size. We believe in direct communication and transparency with our partners. While we may assist with fundraising, recruiting, and strategic relationships, we rarely take board seats.

>Experienced at Scale
Alpha Partners was founded by experienced early-stage venture capital investors and former entrepreneurs with more than 75 years of combined experience. Our team, including our close advisors, have founded and helped to scale multi-billion dollar venture and private equity firms as well as made hundreds of investments themselves.

>Friendly
The venture ecosystem can be rough and tumble. We find that our best introductions come from high-quality referred deals from our friends, our fellow entrepreneurs, and venture firms we often partner with. As a result, we aspire to be as responsive, transparent, and easy to work with as we can be. Friendly.

>Not a Black Box
Making an investment is about capitalizing on a business opportunity as well as forming a partnership. In evaluating an investment, we weigh leadership team quality, revenue velocity, category leadership, concept simplicity, strategic partner strength, market size, and growth. That said, we’ve found that companies with over $5 million in annual revenue that are growing tend to stay on that growth path.",VC,"$3,000,000","$10,000,000"
Alpha Square Group,http://alphasquaregroup.com/,"350 5th Ave, Ste 3910 New York, 10118, USA",USA,"4. Scaling,5. Growth,6. Pre-IPO","We invest in Series B to Pre-IPO companies with cheques from $3-15M. We often invest in multiple subsequent rounds. We primarily invest in top-performing fintech, Enterprise SaaS, and Crypto/Web3 startups. Rapid revenue growth and a run rate of at least $5M; exciting unit economics that demonstrate the potential to be highly profitable at scale.",VC,"$3,000,000","$15,000,000"
Alpha Vertex,https://alphavertex.ventures/,"22-24 Ortega y Gasset, Madrid Spain","South Africa,Canada,Chile,Colombia,USA,Austria,Belgium,Czech Republic,Denmark,Estonia,France,Germany,Hungary,Ireland,Italy,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden,UK,UAE,Australia,New Zealand","1. Idea or Patent,2. Prototype,3. Early Revenue","We support startups eager to embark on their entrepreneurial journey in Madrid—more fashionable than ever, and a strategic crossroads between America, Asia, and Europe.","Incubator, Accelerator","$50,000","$500,000"
Alpine Ventures,https://alpine.vc/,"2331 Glenview St, Alameda, CA 94501","USA,Canada,Indonesia,South Korea,Vietnam,UK,Germany,Brazil,Mexico,Nigeria,Zambia,Ghana,Australia,Colombia,Singapore,Argentina,France,Spain,Croatia,India","2. Prototype,3. Early Revenue","We invest in seed stage tech startups in consumer Internet, web3 applications, and prosumer software globally. We invest post-product (can be in beta), pre everything else (pre-revenue, pre-growth).",VC,"$250,000","$2,000,000"
Alstin Capital,https://www.alstincapital.de/,"Maximilianstr. 34, 80539 München","Austria,Belgium,Denmark,Estonia,Czech Republic,Finland,France,Germany,Greece,Iceland,Ireland,Italy,Latvia,Liechtenstein,Luxembourg,Lithuania,Netherlands,Norway,Poland,Portugal,Spain,Switzerland,Ukraine,Israel,UK,Romania,Hungary,Slovakia,Serbia","4. Scaling,5. Growth","We invest in rapidly growing technology companies that have the potential to leverage the significant market potential of the future and become market leaders. We do not solely invest in convincing technology, but above all in the entrepreneurs behind the technology. We support our entrepreneurs with capital and know-how so that they can grow faster and more successfully. The basis of our investment is the conviction that entrepreneurial know-how, long-term transaction experience, international networks, and commercial excellence are the success factors for long-term growth. ",VC,"$1,200,000","$5,980,000"
Altalurra Ventures,https://www.altalurra.com,"80 Theodore Fremd Ave, Rye, NY 10580, Unites States","Brazil,Canada,Mexico,USA,Austria,Belgium,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in emerging and innovative founders achieving positive impact through technology and sustainable business models. As an impact-driven fund we focus on transformative startups from seed to series B stages which fit our three investment themes: climate technology, industry and infrastructure technology, and social impact technology.",VC,"$100,000","$1,000,000"
Altano Capital,www.altano-capital.com,"Chausseestrasse 1, 10115 Berlin","Germany,Austria,Switzerland","3. Early Revenue,4. Scaling,5. Growth",We invest in health-tech and med-tech companies both hardware and software related.,PE fund,"$500,000","$5,000,000"
Altavia Adventures,https://www.linkedin.com/company/altavia-adventures/,"2, Place du Colonel Fabien, Paris, Île-de-France 75019, FR",France,"2. Prototype,3. Early Revenue","We invest in early-stage Seed or Series A startups in our areas of expertise, with high growth potential and recurring revenues - Saas and Marketplace.

We are Altavia Corporate Ventures, the investment arm of Altavia Group, the leading independent international group specializing in commercial communication for the retail sector.

We firmly believe in creating mutual and shared value, thus we offer our portfolio startups tailor-made access to our best experts and to a targeted selection of the group's business units.",Corporate VC,"$200,000","$3,000,000"
Alter Equity,https://www.alter-equity.com/,"23 Rue Danielle Casanova, 75001 Paris",France,"3. Early Revenue,4. Scaling","We invest in companies whose activity contributes to resolving environmental challenges (energy efficiency and transition, circular economy, recycling, air, water and soil quality, green chemistry, organic products, biodiversity, etc.) or social challenges (education, training, employability, culture, services to vulnerable people, health, well-being, organic products, fair-trade, etc.) and commit to an ESG business plan which is an action plan to promote more responsible social, environmental and governance practices.

We invest in companies having realised at least €800k revenue over the last 12 months.

We take a Minority or majority stakes, from €1m to €30m.",VC,"$1,000,000","$30,000,000"
Alumni Ventures,https://av.vc/,"670 N. Commercial St, Suite 403, Manchester, NH 03101, USA","USA,Canada,Mexico,UK,France,Spain,Germany,Israel,South Africa,India,Singapore,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in companies at all stages, across all regions, and in (almost) all sectors. Our check size ranges from $100K to $10M with a sweet spot of $1M – $3M. We are strictly a co-investor: we don’t sit on boards or set terms.

We’re drawn to opportunities where we believe we can help, such as a strong alumni connection to one of our 18 Alumni Funds, where we can catalyze flywheels with our alumni communities. We also have Focused Funds, which invest by specific sectors, stages, or themes.",VC,"$100,000","$10,000,000"
Alumshares,https://alumshares.com,"1017 Main Campus Dr Suite 2300 Raleigh, NC  27606",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in hard tech and research spinouts.,VC,"$100,000","$2,500,000"
Alven,https://www.alven.co/,"124 rue Réaumur, Paris, Ile de France 75002, FR","France,USA,Belgium,Germany,Netherlands,Sweden,Denmark,Finland,Italy,Spain,Portugal,Poland,Estonia","3. Early Revenue,4. Scaling,2. Prototype","We invest in software-enabled startups based in Europe or in the US, looking to define or create a category.",VC,"$500,000","$15,000,000"
Alwyn Wong,,Los Angeles,"Canada,USA","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in Pre-Seed and Seed-stage companies across sectors. While I’m sector-agnostic, I lean toward fintech, govtech, and selectively life sciences. I back founders who are all-in—deeply committed, resourceful, and obsessed with the problem they’re solving.",Solo angel,"$50,000","$300,000"
Amdocs Ventures,https://www.amdocs.com/,"625 Maryville Centre Drive, St Louis MO 63141, USA","Israel,USA,UK,Germany","3. Early Revenue,2. Prototype,4. Scaling",We invest in Enterprise Infrastructure Software.,Corporate VC,"$750,000","$3,000,000"
American Family Ventures,https://www.amfamventures.com/,"821 E Washington Avenue, Madison, WI 53703","USA,Canada,UK,France,India","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in startups focused on the future of insurance from pre-seed to Series B,VC,"$500,000","$10,000,000"
"American Prudential Capital, inc.",https://apccash.com/,"10216 Fairbanks N. Houston Rd., Houston, Texas 77064, US",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in B2B companies in Texas and other states not California nor in New York. 
No crypto, no cannabis, no B2C, no strictly credit cards on subscription. 
Our family's small family office has funded thousands of companies and billions of dollars in the last thirty three years. 
Imagine a recent start up growing from using $100k month one to $150M year one with revenues of $250M plus year one in B2B oilfield roustabout welding. ",Family office,"$25,000","$15,000,000"
AMG Block,https://www.amgblock.com/,"Av Revolucion 1267, Mexico City, Mexico City 01010, MX","Mexico,Colombia,Peru,Chile,Argentina","2. Prototype,3. Early Revenue",We invest in fintech companies in Mexico and spanish-speaking Latin America.,VC,"$50,000","$250,000"
Amit Gogia,https://www.amitrajgogia.com,India,India,"3. Early Revenue,4. Scaling","I invest in ventures building at the intersection of consumer and healthcare focussed on India.

Current portfolio is a mix of consumer, ed-tech and SaaS.",Solo angel,"$10,000","$25,000"
Amit Patel,https://www.linkedin.com/mwlite/in/amitp97,"New Jersey, USA",,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","I invest in all seed and growth stage startups in AI, SaaS, Blockchain, Healthcare, IoT, Robotics/Automation",Solo angel,"$5,000","$200,000"
Amiti,https://www.amiti.vc/,"22 Rothschild Blvd, TLV 6688218, Israel",Israel,"2. Prototype,3. Early Revenue",We invest in founders that have the potential to offer real tech ingenuity to a big market going thru a huge disruption,VC,"$2,000,000","$5,000,000"
Amplifica Capital,https://amplifica.capital,Mexico City,"Mexico,Chile,Colombia,Peru,Argentina","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies improving lives in LatAm, specifically those increasing economic opportunities and participation of women. Sector Agnostic.",VC,"$25,000","$100,000"
Amplify.LA,http://amplify.la,"Venice, California, United States","Canada,USA","2. Prototype,3. Early Revenue,4. Scaling",We invest in innovative companies.,"Incubator, Accelerator",,"$5,000,000"
Amplitude Ventures,https://amplitudevc.com/en,"Espace CDPQ 3, Place Ville-Marie Suite 12350 Montreal, QC H3B 0E7","Canada,USA,UK","2. Prototype,4. Scaling,5. Growth,6. Pre-IPO",We invest in promising healthcare companies that share our vision of bringing groundbreaking technologies to patients. Amplitude is focused on building world-class Canadian companies (and companies associated with Canadian talent and IP) in precision medicine and next-generation medical devices.,VC,"$1,000,000","$15,000,000"
Amy Chen,,"SF, USA","USA,Singapore,Taiwan,France,Germany,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in SaaS, AI, IOT, Biotech industry. $30K-200K per deal.",Solo angel,"$25,000","$200,000"
Ananda Impact Ventures,https://ananda.vc/,"Isarwinkel 6, „Isartal Werkstätten“, München, Bayern 81379, DE","Austria,Belgium,Finland,Germany,Luxembourg,Netherlands,Norway,Sweden,Switzerland,UK",3. Early Revenue,"We invest in Europe's most innovative early-stage (seed + Series-A) tech startups across Health, Education, Inclusion, Future of Work, Climate Tech, Sustainable Consumption + Production, SaaS, and are open for other impactful areas.",VC,"$500,000","$3,000,000"
Anaxago,https://www.anaxago.com/,"18 rue Sainte-Foy, 75002, Paris","France,Belgium,Spain,Portugal,UK,Italy,Germany,Luxembourg","4. Scaling,5. Growth,3. Early Revenue","We invest in Healthcare (Medtech or Biotech), Proptech and Fintech companies with at least 40k€ MRR (excl. Biotech).",VC,"$500,000","$3,000,000"
Anchorless Bangladesh,https://www.anchorless.vc/,,Bangladesh,"3. Early Revenue,4. Scaling",We invest in Bangladeshi founders and startups. We are pretty much sector agnostic and invest mostly in seed and later stage startups.,VC,"$200,000","$1,000,000"
AnD Ventures,https://www.and-ventures.com/,"Arik Einstein St 3, Herzliya, Israel",Israel,"3. Early Revenue,4. Scaling","We invest in early-stage Israel-based/Israeli-led startups developing innovative and technologically advanced solutions, validated by our broad enterprise network.",VC,"$500,000","$2,000,000"
Andile Ndlovu,,"Los Angeles, CA, USA","South Africa,Zimbabwe,USA,China,India,Japan,Singapore,UK,UAE",1. Idea or Patent,"I invest in early-stage companies building the future of media, culture, wellness, and infrastructure for the creative economy. I’m especially excited about founders from underrepresented backgrounds and solutions that drive both social impact and scalability across Africa and the global diaspora.",Solo angel,"$1,000","$50,000"
Andreas Mihalovits,https://www.globalsuperangels.club,"Marbella, Spain","Canada,USA,Austria,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine,UAE","3. Early Revenue,4. Scaling",I invest in any sector as long as it is not hardware related. I prefer subscription based business models with at least $30K MRR.,Solo angel,"$50,000","$300,000"
Andree Dr. Welker,,"Zurich, Switzerland","USA,Austria,Germany,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in groundbreaking Tech-Disruptors, in AI, AR, VR, Software, SaaS, Robotics with sustainable Social Impact",Solo angel,"$1,000","$50,000"
Andrei David,,"London, UK","Austria,Bulgaria,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Romania,Spain,Sweden,Switzerland,UK","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in early-stage startups in Europe through the Atomico Angel Programme.

I am interested in diverse founders building in Enterprise Data & Automation, Developer Tools, and Internet Infrastructure with focus on Web3 & Blockchain.",Solo angel,"$10,000","$25,000"
Andrew Chan,,"Los Angeles, USA",USA,1. Idea or Patent,"I invest in early stage ""real technology"" (applied AI, robotics, IoT) focused on older industries with a specific vertical approach to energy, manufacturing, and agriculture.",Solo angel,"$1,000","$5,000"
Angel Chahin,,"Sur 25 650, Orizaba, Veracruz, 94300 Mexico","Mexico,USA","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in early-stage startups that are addressing challenges in manufacturing, content creation, and financial technology. I look for businesses leveraging emerging technologies such as blockchain, AI, IoT, and automation. I'm particularly interested in B2B models that enhance operational efficiency, reduce costs, or provide innovative solutions",Solo angel,"$5,000","$10,000"
Angel Club,https://angelclub.com,"53 Summit Rd, San Anselmo, CA 94960","USA,UK,Canada,Mexico,Argentina,Brazil,Colombia",3. Early Revenue,We invest in consumer technology at seed-stage with a special focus on female and diverse founders. We also invest in talented teams and start-ups where we believe we can be strategic and helpful beyond capital.,Angel network,"$10,000","$150,000"
Angel Invest,https://angelinvest.ventures,"Berlin, Germany","USA,Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Lithuania,Luxembourg,Moldova,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in extremely ambitious teams who are building category-defining companies, and doing things that nobody else does. We invest in B2B, B2C, Marketplaces, Deeptech and more.",VC,"$100,000","$100,000"
AngelHub,https://angelhub.io/,"8/F Cheung Hing Industrial Building, 12P Smithfield, Kennedy Town, Hong Kong","Belgium,France,UK,Ireland,Netherlands,Luxembourg,Germany,Hong Kong,Singapore,Indonesia,Philippines,Thailand,Vietnam,Australia,New Zealand","3. Early Revenue,4. Scaling,5. Growth","We invest in web3, fintech, industry 4.0, SaaS, ESG",Other,"$200,000","$750,000"
Angelos Pampos,,"London, UK",UK,3. Early Revenue,"I invest in pre-seed and seed stage technology B2B companies in Education, Healthcare and Sustainability.",Solo angel,"$1,000","$10,000"
Angels Bay Invest,https://angelsbay.net/,"c/o Data ScienceTech Institute Les Templiers 950 Route des Colles, Sophia-Antipolis 06410 Biot, France",France,"2. Prototype,3. Early Revenue,4. Scaling","We invest in young innovative French start-ups with an international ambition. We are looking for companies, mainly in B2B, which are solving key issues for businesses, environnement, or the society. We invest from $70k to $150k at early stage.",Angel network,"$70,000","$150,000"
AngelSpark,https://angelspark.net/,"in5 Tech, Dubai","UAE,Saudi Arabia,Egypt,UK,USA,Spain,Germany,Netherlands,India,Pakistan","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in promising and exciting startups in fintech, IoT, web3, SaaS, developer tools, open source, F&B, ISP. We are geography & sector agnostic.",Angel network,"$100,000","$100,000"
Angelsquare Capital,https://angelsquare.co/capital/,90 Rue Notre Dame de Nazareth 75003 Paris,France,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in pre-seed and seed stages - all sectors, focused on French Entrepreneurs :)
We can leverage our tickets with our serial-BAs network through a SPV",Angel network,"$50,000","$500,000"
Angular Ventures,https://www.angularventures.com/,"4 Hashla Street, Tel Aviv Yafo, Tel Aviv 6228304, IL","Israel,UK,Germany,France,Netherlands,Spain,Sweden,Ireland,Austria,Estonia,Romania,Poland,Belgium,Croatia,Greece,Norway,Slovakia,Serbia,Slovenia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in early-stage Enterprise, B2B or deep tech founders.",VC,"$250,000","$2,000,000"
Angus Duncan-Timpson,,"Edinburgh, UK","Canada,USA,Denmark,Finland,Germany,Netherlands,Sweden,Switzerland,UK",,"I invest in, primarily, AI, logistics tech, fintech, and proptech (incl. construction). Open to all ideas.
Needs MVP, strong team and an unfair advantage.",Solo angel,"$500,000",
Anil Amesur,,England,"USA,Hong Kong,India,Indonesia,Singapore,Thailand,Vietnam,Germany,UK","1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in startups led by a strong team going after a big market,Solo angel,"$5,000","$200,000"
Anil Can Baykal,https://anilcanbaykal.com,"Berlin, Germany",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in Automated Software Engineering, Engineering tools, and productivity",Solo angel,"$50,000","$1,000,000"
Ante-Bellum Angels,https://www.antebellumangels.com/,"London, UK",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in defence startups with essential early-stage capital, empowering them to bring revolutionary solutions to the forefront of national security.",Angel network,"$50,000","$100,000"
Anthemis,https://www.anthemis.com/,"3rd Floor, 25 Soho Square, London, W1D 3QR, UK","Canada,USA,France,Germany,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage companies that directly relate to fintech or insurtech, across all aspects of the value chain. Beyond this, though, we invest in opportunities at the intersection of a number of industries with the world of finance, including climate, mobility, supply chain, proptech, blockchain, healthcare, and more.",VC,"$200,000","$3,000,000"
Anthropocene Ventures,https://anthro.ventures,"1 Ferry Building, San Francisco CA 94110",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in hard science ClimateTech companies globally.,VC,"$100,000","$3,000,000"
Antiportfolio Ventures,https://antiportfolio.ventures/,650 California St. San Francisco CA 94109,USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","Antiportfolio Ventures is the most active early-stage LegalTech venture fund. Our partners have invested in Legora, Justpoint, Darrow, Steno, and 10+ others. We invest in SaaS applications, AI-first law firms, and companies in regulated spaces. 

We invest $200K to $2M into early stage rounds (seed, pre-seed, Series A). ",VC,"$100,000","$2,000,000"
Antler,https://www.antler.co/,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","Kenya,USA,China,India,Singapore,Vietnam,Denmark,Germany,Netherlands,Norway,Sweden,UK,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-revenue startups.,VC,"$200,000","$200,000"
Anzu Partners,https://www.anzupartners.com,"Washington, District of Columbia, United States","Australia,Canada,Singapore,USA","3. Early Revenue,4. Scaling,5. Growth",We invest in industrial and life science technology companies.,PE fund,"$3,000,000","$15,000,000"
Aonia Ventures,http://www.aonia.vc/,"3 ruelle des templiers, 1207 GENEVA","France,Canada,Germany,UK","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in tech companies all over the world, in early-stage with tickets from $150k to $300k",VC,"$150,000","$300,000"
Apeiron Venture Capital,https://apeiron.vc/,"Evrystheos 2, 11854 Athens, Greece","Greece,UK,USA","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in B2B Enterprise Software & consumer-facing ventures targeting the GenZ Economy at pre-seed and seed stages with an average ticket size ranging from $300k to $1mm,VC,"$300,000","$1,000,000"
Aper Ventures,https://aperventures.com/,Grzybowska Street 4/96 00-131 Warsaw,Poland,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in deeptech and hardware startups that demonstrate proven competitive advantages and significant global potential.,VC,"$1,000,000","$4,000,000"
Aperio Partners,https://aperio.partners,B-19 Ganesh Bhavan Tulsi Pipe road Mumbai,India,"3. Early Revenue,4. Scaling","We invest in companies across consumer tech, fintech, healh tech, mobility/logistics, and SaaS, deeptech etc.",VC,"$150,000","$450,000"
Aperitivo,https://aperitivo.vc,"Avinguda Diagonal, 606, 08021 Barcelona","Afghanistan,Albania,Zimbabwe,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Ecuador,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Belize,Dominica,Yemen,Zambia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in Worldwide startups from 0 to 1. Sector Agnostic.,VC,"$50,000","$5,000,000"
Aperture Venture Capital,https://aperturevc.com,"201 King of Prussia Rd, Suite 650, Radnor, PA 19035",USA,"2. Prototype,3. Early Revenue",We invest in seed stage startups with diverse founders building a more inclusive economy with financial innovation.,VC,"$500,000","$1,500,000"
APEX Capital,https://apex-cp.com/,"The Tower – Oeiras, Rua do Silval, nº 38, 2780-373 Oeiras, Portugal","USA,Portugal,Spain,Belgium,Netherlands,Ukraine,UK,Andorra,Brazil,Canada,Croatia,Czech Republic,Denmark,Finland,Norway,Germany,France,Greece,Hungary,UAE,Switzerland,Sweden,Turkey,Serbia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in companies that have the potential to shape the future of sports, media and entertainment. ",VC,"$100,000","$4,000,000"
Apex Ventures,http://www.apex.ventures/,"Habsburgergasse 2/1a, Vienna, 1010, Austria","Austria,Germany,Switzerland","2. Prototype,3. Early Revenue","We invest in early-stage deep tech startups with a focus on quantum technologies, future of computing, artificial intelligence, space and techbio.",VC,"$500,000","$2,000,000"
